Peak name,Continent,Country,Difficulty,Elevation (feet),Elevation (meters),Latitude,Longitude,Nearest major airport,Year first climbed
El Pinal,north america,mexico,walk up,3937,1200,,,escobedo intl. airport,
El Pintor,south america,chile,walk up,13780,4200,,,santiago chile,
El Plomo,south america,chile,basic snow/ice climb,17815,5430,-33.2667,-70.2333,santiago,
El Potosi,north america,mexico,walk up,11975,3650,,,"saltillo, coahuila",
El Prau Del Fontan,europe,spain,walk up,7756,2364,43.016823,-5.9624,oviedo and leon,
El Púlpito,south america,venezuela,scramble,12835,3912,8.072147,-71.922426,"san cristóbal, las piedras",
El Salto,south america,argentina,walk up,15476,4717,-32.913619,-69.405006,el plumerillo,1941
"El Tigre, Volcan",north america,honduras,walk up,2569,783,13.272,-87.641,nan,
El Toro,south america,venezuela,walk up,15515,4729,8.53167,-71.0889,alberto carnevalli - mérida,1910
El Tucuche,south america,trinidad and tobago,walk up,3072,936,10.733333,-61.416667,piarco international airport,
"Elbert, Mount",north america,united states,walk up,14433,4399,39.1178,-106.445,"denver, colorado",1874
"Elbrus, Mount",europe,russia,basic snow/ice climb,18510,5642,43.355,42.4392,"moscow, russia, kiev, ukraine, tbilisi, georgia",1874
"Elden, Mt",north america,united states,walk up,9299,2834,,,pulluim,
Eldorado Peak,north america,united states,basic snow/ice climb,8868,2703,48.537626,-121.134283,seatac,1933
Electric Peak,north america,united states,scramble,10992,3350,45.0053,-110.837,billings,
Elephant Butte,north america,united states,technical climb,5653,1723,38.695982,-109.540172,grand junction,
Elephant Mountain,north america,united states,walk up,10090,3075,45.4388,-110.99,bozeman,
Elephants Back,north america,united states,scramble,9585,2922,38.678207,-119.983535,"lake tahoe, ca",
"Elgon, Mount",africa,uganda,walk up,14178,4321,1.13333,34.55,"nairobi, kenya",1911
Elidir Fawr,europe,united kingdom,walk up,3031,924,53.131199,-4.075306,nan,
Elk Mountain,north america,united states,walk up,6779,2066,47.926012,-123.361496,seattle-tacoma,
Elk Thurston Ridge,north america,canada,walk up,4400,1341,49.113096,-121.801643,vancouver,
Elke,europe,spain,scramble,4255,1297,,,nan,
Elkhorn,north america,canada,scramble,7201,2195,,,vancouver,1912
"Elkins, Mount",antarctica,antarctica,scramble,7546,2300,-66.667,54.15,"perth, australia",1960
Ellingwood Point,north america,united states,walk up,14042,4280,37.5825,-105.492,colorado springs,
"Ellinor, Mount",north america,united states,walk up,5944,1812,47.521664,-123.260636,seattle,1879
Ellmauer Halt,europe,austria,scramble,7690,2344,47.562222,12.303056,innsbruck,
Elmali Dagi,asia,turkey,walk up,8218,2505,,,antalya,
Elpoca Mountain,north america,canada,nan,9961,3036,50.665,-115.027,calgary international airport,1960
Els Encantats,europe,spain,scramble,9012,2747,42.568854,1.015506,barcelona,
Emei Shan,asia,china,walk up,10167,3099,29.5333,103.35,"chengdu, china",
Emi Koussi,africa,chad,walk up,11204,3415,19.8333,18.5,"n'djamena, chad",1938
"Emin, Mount",africa,"congo, democratic republic of the",technical climb,15740,4798,0.433333,29.9,"kampala, uganda,  kigali, rwanda,  bujumbura, burundi,  nairobi, kenya",1906
Emory Peak,north america,united states,nan,7825,2385,29.2458,-103.304,el paso,
Enchanted Rock,north america,united states,walk up,1825,556,30.5066,-98.8189,austin,
Enchantment Peak,north america,united states,scramble,8250,2515,47.48905,-120.802789,seattle-tacoma,1948
Energia,asia,tajikistan,nan,16798,5120,39.18204,68.199556,via samarkand or dushanbe,
"Engadine, Mount",north america,canada,scramble,9751,2972,50.865,-115.312,calgary international airport,1956
"Eolus, Mount",north america,united states,scramble,14083,4293,37.6228,-107.621,durango,
Epaulette Mountain,north america,canada,technical climb,10154,3095,51.865998,-116.735058,calgary,1924
Erbeskopf,europe,germany,walk up,2684,818,49.730556,7.090556,luxembourg,
Erciyes,asia,turkey,technical climb,12851,3917,38.5333,35.4667,kayseri,1863
"Erebus, Mount",antarctica,antarctica,basic snow/ice climb,12447,3794,-77.5333,167.15,nan,1908
Eren,asia,turkey,nan,8816,2687,36.72783,29.62571,dalaman airport / mu?la,
"Errigal, Mount",europe,ireland,walk up,751,229,55.033889,-8.112668,nan,
Erymanthos,europe,greece,scramble,7297,2224,37.91,21.84,nan,
Erzhorn,europe,switzerland,scramble,9593,2924,46.779278,9.677658,zuerich,
Escudilla Mountain,north america,united states,walk up,10912,3326,33.955357,-109.125438,phoenix or alburquerque,
Esjufjöll,europe,iceland,nan,5029,1533,64.0333,-16.0667,keflavík international airport,
Esk Pike,europe,united kingdom,walk up,2903,885,54.456468,-3.17831,"manchester, liverpool",
"Espejo, Pico",south america,venezuela,scramble,15633,4765,8.531374,-71.053315,nan,
Espiguete,europe,spain,walk up,8038,2450,42.945366,-4.797592,santander,
"Ethan Allen, Mount",north america,united states,nan,3680,1122,44.293945,-72.884008,nan,
"Etna, Monte",europe,italy,walk up,10902,3323,37.75,15,"catania, sicily",
Ettaler Mandl,europe,germany,scramble,5413,1650,,,nan,
"Evan-Thomas, Mount",north america,canada,nan,10164,3098,50.7633,-115.098,calgary international airport,1954
"Evans, Mount",north america,united states,walk up,14264,4350,39.5886,-105.643,"denver, colorado",
Eveque,europe,switzerland,technical climb,12192,3716,45.964307,7.502761,geneva,
"Everest, Mount",asia,nepal,major mountain expedition,29035,8850,27.9881,86.9253,"kathmandu, nepal",1953
Excelsior Peak,north america,united states,walk up,5613,1710,48.934877,-121.790056,"bellingham, wa",
Eyjafjallajökull,europe,iceland,basic snow/ice climb,1666,508,63.633,-19.6,"keflavik, iceland, or small local airfiled pakki 10 km from peak",1777
"Faber, Mount",asia,malaysia,walk up,348,106,,,singapore changi international airport,
"Fable, Mount",north america,canada,scramble,8865,2702,51.1175,-115.226,calgary international,1947
"Fairchild, Mount",north america,united states,technical climb,6900,2103,47.900141,-123.633367,seattle-tacoma,1963
Fairfield,europe,united kingdom,walk up,2864,873,54.4971,-2.99165,manchester,
Fairview Mountain,north america,canada,scramble,9003,2744,51.399152,-116.223421,calgary international,1893
"Fairweather, Mount",north america,united states,basic snow/ice climb,15300,4663,58.9072,-137.527,"juneau, alaska",1931
Faisten Schafberg,europe,austria,walk up,5114,1559,47.748904,13.30513,salzburg,
Falakro,europe,greece,walk up,7323,2232,41.3167,24.0833,thessaloniki,
Falkenberg,europe,germany,walk up,2546,776,48,10,stuttgart,
Fan Si Pan,asia,vietnam,scramble,10535,3211,22.303333,103.775,hanoi,
Fanatkogl,europe,austria,walk up,9531,2905,47.0667,12.7,wien,
Fang Mountain,north america,united states,technical climb,6736,2053,,,fairbanks,
Fannaraki,europe,norway,walk up,6785,2068,61.5185,7.9167,oslo,
Fanno Peak,north america,united states,walk up,3333,1016,44.869282,-123.643998,portland,
"Fanny, Mount",north america,united states,nan,7136,2175,45.307734,-117.730865,"boise, id",
"Farnham, Mount",north america,canada,technical climb,11460,3493,50.4883,-116.487,cranbrook airport,
Faulhorn,europe,switzerland,walk up,8796,2681,46.674795,7.999506,"bern, switzerland",
Fay,north america,canada,technical climb,10610,3234,51.297457,-116.163597,calgary,1904
"Feathertop, Mount",australia/oceania,australia,walk up,6306,1922,,,melbourne,
Federation Peak,australia/oceania,australia,scramble,4180,1274,,,hobart,1947
Feldberg,europe,germany,walk up,4898,1493,47.874648,8.003411,basel/mulhouse,
Fellhorn,europe,germany,walk up,5789,1764,47.609404,12.508793,munich,
"Fernow, Mount",north america,united states,scramble,9249,2819,48.162536,-120.807509,seattle-tacoma,1932
"Ferry, Mount",north america,united states,scramble,6195,1888,47.842887,-123.5682,seattle-tacoma,
Festkogel,europe,austria,walk up,9957,3035,,,innsbruck,
Feuerpalfen,europe,germany,walk up,5710,1740,47.53876,12.999573,salzburg,
Fichtelberg,europe,germany,nan,3983,1214,50.429444,12.954167,dresden,
"Field West, Mt",australia/oceania,australia,scramble,4705,1434,-42.654632,146.51583,hobart,1853
"Field, Mount",north america,united states,walk up,4341,1323,44.19667,-71.435549,nan,
Fields Peak,north america,united states,walk up,7362,2244,44.3386,-119.2587,"boise, id",
Fifes Peaks,north america,united states,scramble,6880,2097,46.974476,-121.328783,"seattle-tacoma, or yakima",
Filbling,europe,austria,walk up,4284,1306,47.790209,13.276634,salzburg,
Finailspitze,europe,austria,scramble,11535,3516,,,"innsbruck, austria",
Finney Peak,north america,united states,walk up,5083,1549,48.380654,-121.745725,seattle,
Finsteraarhorn,europe,switzerland,technical climb,14019,4273,46.5333,8.13333,"bern, switzerland",1829
Fintina,europe,romania,scramble,7792,2375,,,sibiu,
Fioraro (Monte),europe,italy,walk up,7976,2431,46.059593,9.642434,bergamo,
First Sella Tower,europe,italy,technical climb,8310,2533,,,nan,1899
Fish,north america,united states,walk up,4069,1248,61.744653,-149.195452,anchorage,
Fish Mountain,north america,united states,scramble,6729,2051,43.075401,-122.423095,"medford, or",
Fisher Peak,north america,united states,scramble,8040,2451,48.545285,-120.823693,seattle-tacoma,1940
Fissile,north america,canada,basic snow/ice climb,8000,2438,,,vancouver,
"Fitzroy, Cerro",south america,argentina,technical climb,11073,3375,-49.271277,-73.043375,"since 2000, el calafate has its own airport. it is no longer necessary to travel via rio gallegos.",1952
Flat Top,asia,india,basic snow/ice climb,20013,6100,,,srinagar or leh,1989
Flattop,north america,united states,walk up,3500,1067,61.0906,-149.665,anchorage,
Flattop Mountain,north america,united states,walk up,12493,3808,40.014732,-107.083392,denver international,
Fleetwith Pike,europe,united kingdom,walk up,2126,648,54.5167,-3.23333,manchester,
Fleischbank,europe,austria,scramble,7175,2187,47.5688,12.317,munich,1886
Fletcher Mountain,north america,united states,scramble,13951,4252,39.4033,-106.128,breckenridge,
Fletschhorn,europe,switzerland,basic snow/ice climb,13100,3993,46.168105,8.003239,nan,
Floating Rock,north america,united states,scramble,5120,1561,,,seattle,
Fluchtkogel,europe,austria,basic snow/ice climb,11483,3500,46.857778,10.7925,innsbruck,
"Flume, Mount",north america,united states,walk up,4327,1319,44.109066,-71.627898,"burlington international,vermont",
Fläscherberg,europe,switzerland,walk up,3724,1135,47.037617,9.507076,zurich,
Flüela Schwarzhorn,europe,switzerland,walk up,10325,3147,46.8,9.95,zurich,
Flüela-Wisshorn,europe,switzerland,scramble,10121,3085,46.7608,9.96456,zurich,
Foel Fras,europe,united kingdom,walk up,3091,942,53.2,-3.95,liverpool,
Foel Grach,europe,united kingdom,walk up,3202,976,53.1742,-3.96358,nan,
Foel-goch,europe,united kingdom,walk up,2726,831,53.127616,-4.051895,birmingham/liverpool/manchester,
Folarskardsnuten,europe,norway,basic snow/ice climb,6539,1933,60.608806,7.782249,oslo/bergen,
Folger Peak,north america,united states,walk up,9680,2950,38.4833,-119.8,reno,
"Foraker, Mount",north america,united states,basic snow/ice climb,17400,5304,62.9608,-151.398,"anchorage, alaska",1934
"Forbes, Mount",north america,canada,technical climb,11850,3612,51.860168,-116.932125,"calgary, alberta",1926
Forbidden Peak,north america,united states,technical climb,8815,2687,48.511601,-121.058478,seattle,1940
Foremast,north america,canada,scramble,8670,2643,50.9768,-117.331,calgary,
Forgotten Peak,asia,india,major mountain expedition,19321,5889,33.110523,76.891251,delhi,2012
"Formidable, Mount",north america,united states,technical climb,8325,2537,48.4162,-121.067,seattle-tacoma,1938
Forqueta de Eriste,europe,spain,walk up,9875,3010,42.631622,0.425463,toulouse,
Fort William,europe,united kingdom,basic snow/ice climb,90,27,,,nan,
Fortress Mountain,north america,united states,scramble,8760,2670,48.159587,-120.933466,seattle-tacoma,
"Fortress, The",north america,canada,scramble,9842,3000,50.8278,-115.239,calgary international,1957
Forum Peak,north america,canada,scramble,7922,2415,49.00449,-114.072161,lethbridge,
Foss Peak,north america,united states,scramble,6524,1989,46.755347,-121.712728,seattle-tacoma,
Four Jacks,north america,united states,walk up,7828,2386,,,seattle,
Four Peaks,north america,united states,scramble,7657,2334,34.1167,-111.083,phoenix sky harbor intl,
Frailon,europe,spain,scramble,4209,1283,43.175428,-5.067322,asturias,
Framu,europe,italy,walk up,9842,3000,,,venice,1999
"Francais, Mount",antarctica,antarctica,major mountain expedition,9055,2760,-64.609749,-63.446045,"ushuaia, argentina",
Francs Peak,north america,united states,walk up,13153,4009,43.9614,-109.33,cody,
Frary Peak,north america,united states,walk up,6596,2010,40.9619,-112.216,salt lake city,1851
Freda Mountain,north america,canada,walk up,6200,1890,,,vancouver,
Fremont Peak,north america,united states,walk up,11969,3648,35.3231,-111.66,pullium,
"Fremont, Mount",north america,united states,walk up,7317,2230,46.925443,-121.673026,seattle-tacoma,
"French, Mount",north america,united states,walk up,13940,4249,39.1286,-106.482,denver,
Frenchman's Cap,australia/oceania,australia,nan,4734,1443,-42.269116,145.828528,hobart,1853
Frisco Mountain,north america,united states,scramble,7760,2365,48.488915,-120.756515,seattle-tacoma,1926
"Frissell, Mount",north america,united states,walk up,2380,725,42.051083,-73.481972,"hartford, connecticut",
Frostisen,europe,norway,basic snow/ice climb,5656,1724,68.234167,17.184722,narvik,
"Frosty, Mount",north america,canada,scramble,7900,2408,49.012654,-120.847549,abbotsford international / kelowna international,
Frozen Head,north america,united states,walk up,3324,1013,36.1225,-84.4583,"nashville, tennessee",
Fuego,north america,guatemala,walk up,12346,3763,,,"la aurora, guatemala city",
Fuji-san,asia,japan,walk up,12389,3776,35.3667,138.733,"tokyo, japan",
Fundelkopf,europe,austria,scramble,7877,2401,47.110911,9.675179,"munich, zuerich",
Furgler,europe,austria,walk up,9856,3004,47.040278,10.511944,innsbruck,
"Fury, Mount",north america,united states,technical climb,8292,2527,48.811866,-121.323094,seattle-tacoma,1938
Fusillade Mountain,north america,united states,scramble,8750,2667,48.640849,-113.723602,"great falls, mt",
Fuya Fuya,south america,ecuador,walk up,13986,4263,0.13351,-78.293853,aeropuerto internacional mariscal sucre (quito),
"Gable End, Mount",australia/oceania,australia,walk up,5151,1570,,,melbourne,
Gahinga,africa,rwanda,walk up,11565,3525,-1.28333,30.0667,kigali,
Gaizins,europe,latvia,walk up,1020,311,56.8666,25.95,riga,
Galasescu Mare,europe,romania,walk up,8104,2470,45.6105,24.76943,nan,
"Galatea, Mount",north america,canada,scramble,10449,3185,50.8389,-115.275,calgary international,1930
Galatzó,europe,spain,scramble,3366,1026,39.6332,2.4862,palma de mallorca,
Galdhøpiggen,europe,norway,basic snow/ice climb,8100,2469,61.633,8.317,"bergen or oslo, norway",1850
Galenstock,europe,switzerland,scramble,11755,3583,47.0333,8.7,bern,1845
Gallarraga,europe,spain,walk up,2959,902,43.195,-3.006,bilbao,
Gallatin Peak,north america,united states,scramble,11015,3357,45.3683,111.365,"gallatin field, bozeman, mt",
Galleon Peak,north america,united states,scramble,5283,1610,47.538201,-121.434346,seattle,
Gamila,europe,greece,walk up,8192,2497,,,ioannina,
Gamsfeld,europe,austria,walk up,6649,2027,47.623289,13.478165,salzburg,
Gamskogel,europe,austria,scramble,9229,2813,,,insbruck,
Ganesh Himal,asia,nepal,major mountain expedition,24373,7429,28.391551,85.126963,"kathmandu, nepal",1955
Gangaa Peak,asia,mongolia,basic snow/ice climb,12927,3940,49.6919,91.3989,olgii,2015
Gangapurna,asia,nepal,major mountain expedition,24754,7545,28.605339,83.963475,kathmandu/pokhara,1965
Gangkar Punsum,asia,bhutan,major mountain expedition,24836,7570,28.03,90.27,nan,
Gannett Peak,north america,united states,scramble,13804,4207,43.1844,-109.653,"jackson, wyoming",1922
Gap Mountain,north america,united states,scramble,1900,579,42.818906,-72.137693,"manchester, nh",
Garde de Bordon,europe,switzerland,scramble,10860,3310,46.120782,7.597307,geneve,
"Garfield, Mount",north america,united states,technical climb,5519,1682,47.552867,-121.49334,seattle-tacoma,1940
"Garibaldi, Mount",north america,canada,scramble,8786,2678,49.850657,-123.004818,vancouver,1907
Garklerin,europe,austria,walk up,8104,2470,,,innsbruck,1870
Garmo Negro,europe,spain,walk up,10010,3051,42.7766,-0.2725,zaragoza,
Garnedd Uchaf,europe,united kingdom,walk up,3038,926,53.183408,-3.965578,nan,
Garnedd Ugain,europe,united kingdom,walk up,3494,1065,53.075,-4.076389,"manchester, england",
Garnet Peak,north america,united states,walk up,5900,1798,32.908195,-116.453857,nan,
Garsellakopf,europe,liechtenstein,nan,6906,2105,47.170278,9.564722,zürich,
Garsellikopf,europe,switzerland,walk up,6906,2105,47.170287,9.56475,zürich / altstätten,
Gasherbrum,asia,pakistan,major mountain expedition,26470,8068,35.724845,76.69826,"islamabad, pakistan",1958
Gasherbrum II,asia,pakistan,major mountain expedition,26360,8035,35.757831,76.653028,"islamabad, pakistan",1956
Gasherbrum III,asia,pakistan,major mountain expedition,26089,7952,35.759317,76.64161,islamabad,1975
Gasherbrum IV,asia,pakistan,major mountain expedition,26001,7925,35.762359,76.615906,"islamabad, pakistan",1958
Gatuyoc,south america,peru,basic snow/ice climb,17388,5300,,,cuzco,1971
Gauri Sankar,asia,china,major mountain expedition,23405,7134,27.9667,86.3333,"kathmandu, nepal",1979
Gausta,europe,norway,walk up,6178,1883,,,oslo,
Gavea Rock,south america,brazil,nan,2762,842,,,nan,
Gawahon Peak,asia,philippines,scramble,4298,1310,10.778463,123.209567,new bacolod-silay airport,
"Gayley, Mt",north america,united states,scramble,13510,4118,37.0833,-118.517,bishop,1927
Gearhart Mountain,north america,united states,scramble,8364,2549,42.51278,-120.86222,eugene airport,
"Gede, Mount",asia,indonesia,scramble,9705,2958,-6.78,106.98,"jakarta, soekarno hatta intl airport",
Gee Point,north america,united states,walk up,4974,1516,48.429115,-121.82662,seattle,
Geisterspitze (Punta degli Spiriti),europe,italy,basic snow/ice climb,11375,3467,46.498998,10.475167,milan,
Gelincikana,asia,turkey,walk up,8570,2612,37,37,afyon,
Gemini,north america,greenland,walk up,3609,1100,70.877091,-22.159424,neterlit inaat east greenland,2006
Gennerhorn,europe,austria,walk up,5691,1735,47.674866,13.30925,salzburg,
Gentle Mountain,north america,united states,walk up,7552,2302,48.562494,-120.708246,seattle,
Geremba,south america,venezuela,walk up,7782,2372,10.40993,-67.21817,internacional simón bolívar,
Gerlach,europe,slovakia,scramble,8711,2655,49.15,20.0833,"tatry-poprad, slovakia",1855
Geryon,australia/oceania,australia,technical climb,4951,1509,-41.9,146.05,nan,
"Gessi, Mount",africa,"congo, democratic republic of the",scramble,15470,4715,0.433333,29.9167,"kampala, uganda,  kigali, rwanda,  bujumbura, burundi,  nairobi, kenya",1906
Ghali Kooh,asia,iran,walk up,3371,1027,,,arak,
Ghezel Arsalan,asia,iran,technical climb,11155,3400,34.659758,48.459492,hamedan airport,1973
Ghiona,europe,greece,scramble,8235,2510,,,athens,
Giakupitsa,europe,macedonia,nan,2540,774,47.0333,8.7,bern,1845
Giant,north america,united states,walk up,4629,1411,44.162566,-73.721094,plattsburg international,1797
Giant's Castle,africa,south africa,nan,10761,3280,-29.346053,29.482561,durban international,
"Gibbs, Mt",north america,united states,walk up,12773,3893,37.8771,-119.212,san francisco,1864
Gibraltar Peak,australia/oceania,australia,walk up,3406,1038,-35.458922,148.94783,canberra,
Giewont,europe,poland,walk up,6263,1909,49.250556,19.933889,kraków (balice),
Gilbert Mountain,north america,united states,scramble,8023,2445,48.480944,-120.580959,seattle,
Gilbert North Peak,north america,united states,scramble,7917,2413,48.488738,-120.60515,seattle,
Gilbert Peak,north america,united states,walk up,13442,4097,40.8233,-110.34,"slc, international",
"Gilbert, Mount",north america,united states,walk up,13103,3994,37.1372,-118.597,nan,1928
"Giluwe, Mount",australia/oceania,papua new guinea,walk up,14327,4367,-6.03333,143.883,kagamuga (mt.hagen),
Gimpel,europe,austria,technical climb,6916,2108,47.5007,10.6124,"innsbruck, munich",
Gingilos,europe,greece,scramble,6824,2080,35.2844,23.9286,chania,
Giona,europe,greece,walk up,8241,2512,,,"benizelos, athens",
"Girouard, Mount",north america,canada,scramble,9826,2995,51.236987,-115.404511,calgary international airport,1938
Gistola,europe,georgia,major mountain expedition,15945,4860,42.95,43.1167,kutaisi and tbilisi airports,1937
Gitschen,europe,switzerland,scramble,8245,2513,46.877145,8.575118,zürich,
Giumalau,europe,romania,walk up,6093,1857,47.4368,25.4889,iasi airport,
Gjalices,europe,albania,scramble,8323,2537,,,tirana,
Gjertvasstind,europe,norway,scramble,7713,2351,61.4667,7.85,bergen,
Glacier Peak,north america,united states,basic snow/ice climb,10541,3213,48.111227,-121.113992,"seattle, washington",1898
Glaramara,europe,united kingdom,walk up,2569,783,54.4846,-3.159599,"manchester, liverpool",
Glas Maol,europe,united kingdom,walk up,3504,1068,56.87239,-3.3682,"aberdeen, edinburgh, glasgow",
"Glasgow, Mount",north america,canada,scramble,9629,2935,50.756441,-114.93124,calgary,
Glassy Mountain,north america,united states,walk up,1647,502,34.900996,-82.659888,greenville-spartanburg airport,
Glittertind,europe,norway,basic snow/ice climb,8084,2464,61.65,8.55,"bergen or oslo, norway",1841
Glockturm,europe,austria,walk up,11001,3353,46.893056,10.665556,innsbruck,
Glyder Fach,europe,united kingdom,walk up,3248,990,53.105877,-4.003315,"manchester, liverpool",
Glyder Fawr,europe,united kingdom,walk up,3278,999,53.102476,-4.026833,"liverpool or birmingham, england",
"Glüschaint, Piz",europe,switzerland,basic snow/ice climb,11788,3593,46.362444,9.840139,zurich,1885
Goat Island Mountain,north america,united states,scramble,7288,2221,46.884512,-121.647534,seattle-tacoma,1870
Goat Mountain,north america,united states,scramble,8826,2690,48.704585,-113.591723,"great falls, mt",
Goat Rocks,north america,united states,scramble,8184,2494,46.4885,-121.407,seattle-tacoma,1899
Gobblers Knob,north america,united states,scramble,10246,3123,40.6708,-111.683,salt lake city,
Going-to-the-Sun Mountain,north america,united states,scramble,9642,2939,48.690309,-113.636742,"great falls, mt",
Gokyo Ri,asia,nepal,walk up,17519,5357,27.962089,86.683214,kathmandu,
Gold Hill,north america,united states,walk up,12716,3876,37.8942,-107.823,albuquerque,
Golden Hinde,north america,canada,scramble,7201,2195,49.662778,-125.746944,vancouver or victoria,
Golden Horn,north america,united states,scramble,8366,2550,48.603469,-120.732052,seattle-tacoma,1946
Golem Korab,europe,macedonia,nan,9068,2764,41.790278,20.546667,skopje,
Golgotha,north america,united states,technical climb,8107,2471,61.659084,-154.173889,anchorage,
Goliam Mechi Vruh,europe,bulgaria,walk up,8576,2614,,,sofia,
Goliam Polezan,europe,bulgaria,scramble,9354,2851,41.725077,23.495808,sofia,
Goliam- Perelik,europe,bulgaria,nan,7188,2191,,,nan,
Golz,europe,austria,walk up,6575,2004,46.6667,13.35,klagenfurt,
Gompe Utse,asia,china,nan,17191,5240,29.7,91.0333,"lhasa (gonggar, 3550m)",
Gongga Shan,asia,china,major mountain expedition,24921,7596,29.1333,103.333,chengdu,1980
Gonzen,europe,switzerland,walk up,6004,1830,47.068442,9.434987,zurich,
Goode Mountain,north america,united states,technical climb,9206,2804,48.482908,-120.910943,seatle-tacoma,1936
"Goode, Mount",north america,united states,nan,10610,3234,61.32,-147.98,anchorage,
Goodsir Towers North,north america,canada,basic snow/ice climb,11565,3525,51.210432,-116.414394,calgary international airport,1909
Goose Bump,north america,united states,scramble,7377,2249,,,seattle,
Gora Belukha,asia,kazakhstan,basic snow/ice climb,14784,4506,49.8067,86.5908,"barnaul,russia, semipalatinsk, kazakhstan",1914
Gorbeia,europe,spain,walk up,4859,1481,43.0333,-2.78333,bilbao,
Gorc,europe,poland,walk up,4029,1228,49.3354,20.151,krakow (balice),
Gori Chen,asia,,major mountain expedition,21286,6488,,,"lhasa, tibet",1966
Gorsedd Y Cwmwl,south america,argentina,technical climb,6627,2020,,,esquel,1954
Goryu Dake,asia,japan,walk up,9232,2814,36.659,137.752,"narita international, kansai international",
Gothic Peak,north america,united states,scramble,6213,1894,47.98366,-121.476774,seattle,1934
Gothics,north america,united states,walk up,4738,1444,44.127367,-73.858037,plattsburgh international airport,
"Gould, Mount",north america,united states,scramble,9553,2912,48.742437,-113.715105,"kalispell, montana",1920
Goverla,europe,ukraine,walk up,6762,2061,,,ivano-frankivsk,
Government Peak,north america,united states,walk up,1850,564,,,bay city,
Governors Ridge,north america,united states,scramble,6614,2016,46.864764,-121.573123,seattle-tacoma,
Gr. Hundstod,europe,austria,walk up,8505,2592,47.512563,12.88559,salzburg,1825
Gr. Rauhenkopf,europe,germany,walk up,5265,1605,47.675097,12.974339,salzburg,
Grabinet,north america,united states,walk up,6882,2098,48.614271,-120.865445,seattle,
"Graham, Mount",north america,united states,walk up,10720,3267,32.7,-109.867,tucson,
Gran Paradiso,europe,italy,basic snow/ice climb,13323,4061,45.5177,7.2678,"turin, italy",1860
Gran Zebrù,europe,italy,basic snow/ice climb,12634,3851,46.4786,10.5685,milan,1854
Granate,south america,venezuela,scramble,12765,3891,8.780582,-70.693588,barinas,2014
Granatspitze,europe,austria,nan,10125,3086,47.124722,12.591944,salzburg,
Granaty,europe,poland,nan,7287,2221,49.231944,20.033333,krakow,1867
Grand Ballon,europe,france,walk up,4672,1424,47.75,7.33333,strassbourg,
Grand Capucin,europe,france,technical climb,12592,3838,45.853658,6.897693,"aosta, torino",1924
Grand Combin,europe,switzerland,basic snow/ice climb,14154,4314,45.937228,7.298906,"geneva, switzerland",1857
Grand Cornier,europe,switzerland,basic snow/ice climb,12995,3961,46.052222,7.611667,geneva,1865
Grand Ferrand,europe,france,nan,7,2,,,grenoble,
Grand Muveran,europe,switzerland,scramble,10010,3051,46.2333,7.11667,geneva,
Grand Pic de Belledonne,europe,france,technical climb,9767,2977,45.166709,5.093949,grenoble,1859
Grand Teton,north america,united states,technical climb,13770,4197,43.7411,-110.802,"jackson, wyoming",1898
Grand Veymont,europe,france,walk up,7680,2341,44.87,5.526944,grenoble,
Grande Casse,europe,france,basic snow/ice climb,12638,3852,45.405278,6.8275,geneva or grenoble,1860
Grande Rocheuse,europe,france,basic snow/ice climb,13458,4102,45.934574,6.972918,"chamonix, france",1865
Grande Ruine,europe,france,basic snow/ice climb,12352,3765,44.967222,6.329722,"grenoble, torino",
Grande Sure,europe,france,walk up,6299,1920,45.3371,5.7035,grenoble saint geoirs,
Grandes Jorasses,europe,france,technical climb,13806,4208,45.8667,6.98333,"geneva, switzerland",1868
Grandeur Peak,north america,united states,walk up,8299,2530,40.707,-111.7592,salt lake international,
Grandfather Mountain,north america,united states,walk up,5964,1818,36.115,-81.8619,nan,
Granite Mountain,north america,united states,walk up,5629,1716,47.417334,-121.481205,seatac international airport,
Granite Peak,north america,united states,scramble,12799,3901,45.1667,-109.8,"billings, montana",1923
Grasmoor,europe,united kingdom,walk up,2791,851,54.571111,-3.279167,manchester,
Grassy Ridge Bald,north america,united states,walk up,6050,1844,36.0997,-82.0806,asheville,
Gravel Mountian,north america,united states,scramble,6705,2044,,,anchorage,
Gray Wolf Mountain,north america,united states,walk up,13602,4146,39.6172,-105.66,denver international,
Graybeard Peak,north america,united states,scramble,7965,2428,48.564482,-120.825233,seattle-tacoma,1959
Grays Peak,north america,united states,walk up,7920,2414,34.26101,-116.97123,nan,
Great End,europe,united kingdom,walk up,2985,910,54.4649,-3.19414,manchester,
Great Gable,europe,united kingdom,walk up,2949,899,54.4821,-3.21927,manchester,
Great Sugar Loaf,europe,ireland,walk up,1650,503,53.154101,-6.15,dublin,
Great Trango Tower,asia,pakistan,major mountain expedition,20623,6286,35.757717,76.201014,islamabad/rawalpindi,1977
Great White Throne,north america,united states,technical climb,6744,2056,37.260808,-112.941014,las vegas or salt lake city,1967
Green Mountain,north america,united states,walk up,6500,1981,48.291645,-121.238937,seattle-tacoma,
"Green, Mount",australia/oceania,new zealand,basic snow/ice climb,9311,2838,,,christchurch/mount cook airport,1909
Grenzgipfel,europe,switzerland,basic snow/ice climb,15151,4618,45.936798,7.868086,geneva,
"Greville, Mt",australia/oceania,australia,walk up,2526,770,-28.074367,152.502583,brisbane,
Grey Friar,europe,united kingdom,walk up,2536,773,54.394505,-3.138653,"liverpool, manchester",
